# dwarf planet database
#
# data format:
#   name, a, e, i, q, Q, P, H
#
# Ref.: https://minorplanetcenter.net/dwarf_planets
#
(1) Ceres        ,  2.77, 0.08, 10.6,  2.55,  2.98,   4.60,  3.3
(134340) Pluto   , 39.67, 0.25, 17.1, 29.80, 49.54, 250   , -0.4
(136199) Eris    , 68.12, 0.43, 43.8, 38.69, 97.54, 562   , -1.2
(136472) Makemake, 45.26, 0.17, 29.0, 37.74, 52.78, 304   , -0.2
(136108) Haumea  , 42.94, 0.20, 28.2, 34.36, 51.52, 281   ,  0.2
