#
# planets and dwarf planets (and some more asteroids) in solar system
#
# object name, semimajor axis (km), sidereal orbital period (sec)
#
Mercury  5.790908989105575E+07 7.600534322631309E+06
Venus    1.082084649394783E+08 1.941401558465057E+07
Earth    1.495484423703442E+08 3.154250931922427E+07
Mars     2.279254603851569E+08 5.934897766243228E+07
Jupiter  7.784060565591711E+08 3.743916655811351E+08
Saturn   1.432942173696950E+09 9.354164293390349E+08
Uranus   2.884647050482038E+09 2.672105466998320E+09
Neptune  4.533353284339735E+09 5.264319206819694E+09
Pluto    5.921110734220912E+09 7.858303982431913E+09
Ceres    4.139431750718603E+08 1.452563546957078E+08
Pallas   4.143037541053668E+08 1.454461916233543E+08
Juno     3.995130715473602E+08 1.377274610225037E+08
Vesta    3.534909863097275E+08 1.146282250153039E+08
Haumea   6.420022732986532E+09 8.872150497698898E+09
Makemake 6.770804230006525E+09 9.609138134731525E+09
Eris     1.019367585490687E+10 1.775089604050032E+10
Sedna    7.918181020765582E+10 3.842927493213920E+11
